Column,Timestamp,Question 1: In which institution are you based?,Question 2: Which of the following roles apply to you? 1,Question 2: Which of the following roles apply to you? 2,Question 2: Which of the following roles apply to you? 3,Question 2: Which of the following roles apply to you? 4,Question 2: Which of the following roles apply to you? 5,Question 3: Which of the following disciplines best applies to your work?,Question 4: Which funder currently provides the majority of your funding?,Question 5: How many years have you worked in research?,Question 6: Do you use research software?,Question 7: What would happen if you could no longer use research software?,Question 8: Do you develop your own research software?,Question 9: Have you received any training in software development?,Question 10: Have you ever included costs for software development in a funding proposal?,Question 11: Please provide the name(s) of the main research software you use.,Extra question 1: What is your job title?,Extra question 2: What is your gender?,Extra question 3: Are you employed on a permanent or fixed-term contract,Extra question 4: What is your preferred Operating System?,Q11_valid_data
377,10/21/2014 16:52:31,university of glasgow,I conduct research, I manage researchers or research projects,,,,Humanities & language based studies & archaeology,"other foundation, society or charity",11-15 years,Yes,"My work would require more effort, but it would still be possible",Yes,No,No,"Thesaurus Linguae Graecae, SolidWorks",lecturer,Male,Permanent,Linux,True
378,10/21/2014 16:58:54,university of bristol,I conduct research,,,,,Engineering & technology,epsrc - engineering and physical sciences research council,1-5 years,Yes,It would not be practical to conduct my work without software,Yes,"Yes - a taught course, Yes - self taught using online resources or books",I'm not involved in bid writing,"I develop my own software. My research in on computer vision, therefore it involves designing algorithms , implementing them to assess their performance.",postdoctoral researcher,Female,Fixed term,Linux,True
379,10/21/2014 17:41:46,imperial college london,I conduct research,,,,,"Biological, mathematical & physical sciences",epsrc - engineering and physical sciences research council,1-5 years,Yes,It would not be practical to conduct my work without software,Yes,Yes - self taught using online resources or books,I'm not involved in bid writing,"R for data analysis. The remaining software comprises assorted programs I wrote in Python , C, mostly un-named.",phd student,Male,Prefer not to say,Linux,True
380,10/21/2014 17:49:14,university of glasgow,I conduct research,,,,,"Biological, mathematical & physical sciences",bbsrc - biotechnology and biological sciences research council,1-5 years,Yes,It would not be practical to conduct my work without software,Yes,"Yes - a taught course, Yes - self taught using online resources or books",I'm not involved in bid writing,"Matlab,Brain Voyager QX",phd student,Female,,Microsoft Windows,True
381,10/21/2014 17:54:03,queen mary university of london,I conduct research, I support researchers,,,,"Medicine, dentistry & health",bbsrc - biotechnology and biological sciences research council,6-10 years,Yes,It would not be practical to conduct my work without software,Yes,No,No,"Excel, Minitab, Graphpad Prism, Matlab, SPlus, ImageJ",postdoctoral researcher,Female,Fixed term,Microsoft Windows,True
382,10/21/2014 18:04:05,university of liverpool,I conduct research, I manage researchers or research projects, I develop software for researchers,,,"Biological, mathematical & physical sciences",university central funds,More than 20 years,Yes,It would not be practical to conduct my work without software,Yes,"Yes - a taught course, Yes - self taught using online resources or books",Yes,", ",lecturer,Female,Permanent,Other,True
383,10/21/2014 19:12:36,imperial college london,I conduct research, I manage researchers or research projects,,,,Engineering & technology,wellcome trust,More than 20 years,Yes,It would not be practical to conduct my work without software,Yes,Yes - self taught using online resources or books,Yes,"CST, Code Composer Studio, MATLAB, C, SOlidWorks, Clewin, Excel",postdoctoral researcher,Male,Fixed term,Microsoft Windows,True
384,10/21/2014 19:32:28,university of nottingham,I conduct research,,,,,"Biological, mathematical & physical sciences",university central funds,6-10 years,Yes,It would not be practical to conduct my work without software,No,No,No,"Graphpad prism, CLC bio genomics workbench, GenTle, DNAstar Lasergene",postdoctoral researcher,Female,Fixed term,Mac OS X,True
385,10/21/2014 20:47:16,university of leeds,I conduct research, I support researchers,,,,"Medicine, dentistry & health",university central funds,1-5 years,Yes,It would not be practical to conduct my work without software,No,No,I'm not involved in bid writing,"SPSS ,Mendelay",other,Female,Prefer not to say,Don't have a preference,True
386,10/21/2014 21:23:27,university of bristol,I conduct research, I support researchers, I manage researchers or research projects,,,Engineering & technology,"other foundation, society or charity",6-10 years,Yes,It would not be practical to conduct my work without software,Yes,Yes - self taught using online resources or books,No,"Abaqus, FORTRAN, MATLAB, Excel",research fellow,Male,Permanent,Microsoft Windows,True
387,10/21/2014 23:32:17,university of nottingham,I support researchers,,,,,"Medicine, dentistry & health",nihr,6-10 years,Yes,"My work would require more effort, but it would still be possible",No,No,No,Stata,manager,Male,Permanent,Mac OS X,True
388,10/22/2014 11:34:29,university of sheffield,I conduct research, I manage researchers or research projects,Other,,,"Biological, mathematical & physical sciences",not known,More than 20 years,Yes,"My work would require more effort, but it would still be possible",No,No,No,"prism,matlab,aPE ,CellDesigner,ImageJ",lecturer,Male,Permanent,Mac OS X,True
389,10/22/2014 9:44:03,university of nottingham,I conduct research, I manage researchers or research projects,,,,"Medicine, dentistry & health",nihr,More than 20 years,Yes,It would not be practical to conduct my work without software,No,"Yes - a taught course, Yes - self taught using online resources or books",No,"EndNote, SPSS, STATA, Excel, Bristol Online Surveys, RevMan, ",research fellow,Female,Permanent,Microsoft Windows,True
390,10/22/2014 11:59:47,queen's university belfast,I conduct research, I support researchers, I manage researchers or research projects,,,Engineering & technology,industry,11-15 years,Yes,It would not be practical to conduct my work without software,No,Yes - self taught using online resources or books,Yes,"SAS Institute JMP,Matlab,Various bespoke software for aircraft design synthesis",lecturer,Female,Permanent,Microsoft Windows,True
391,10/22/2014 12:22:10,university of birmingham,I conduct research, I support researchers, I manage researchers or research projects,,,Engineering & technology,epsrc - engineering and physical sciences research council,More than 20 years,Yes,It would not be practical to conduct my work without software,Yes,No,Yes,"MATLAB, CST Microwave Studio, AWR Microwave Office, XFDTD",reader,Male,Permanent,Don't have a preference,True
392,10/22/2014 12:38:10,university of birmingham,I conduct research, I support researchers, I manage researchers or research projects,,,Humanities & language based studies & archaeology,european union,6-10 years,Yes,"My work would require more effort, but it would still be possible",Yes,No,Yes,"Collate, Anastasia, CollateX, Workspace for Collaborative Editing, Virtual Manuscript Room",postdoctoral researcher,Male,Permanent,Mac OS X,True
394,10/22/2014 12:53:23,university of bristol,I conduct research,,,,,"Biological, mathematical & physical sciences",industry,11-15 years,Yes,It would not be practical to conduct my work without software,No,No,No,"In Cell Investigator,ImageJ,GraphPad Prism,Microsoft Excell",postdoctoral researcher,Female,Fixed term,Microsoft Windows,True
395,10/22/2014 13:34:33,university of bristol,I conduct research,,,,,Engineering & technology,epsrc - engineering and physical sciences research council,1-5 years,Yes,"My work would require more effort, but it would still be possible",Yes,"Yes - a taught course, Yes - self taught using online resources or books","No, but we expected to develop software as part of the project","GDC, GCC, Clang, Python, Matplotlib",phd student,Male,Fixed term,Linux,True
396,10/22/2014 13:48:01,university of liverpool,I conduct research,,,,,Humanities & language based studies & archaeology,no funding,6-10 years,No,It would make no significant difference to my work,No,No,No,,lecturer,Female,Permanent,Microsoft Windows,False
397,10/22/2014 14:41:38,university of leeds,I conduct research,,,,,"Biological, mathematical & physical sciences",epsrc - engineering and physical sciences research council,1-5 years,Yes,"My work would require more effort, but it would still be possible",Yes,"Yes - a taught course, Yes - self taught using online resources or books",I'm not involved in bid writing,"MATLAB, ImageJ, Microsoft Excel",phd student,Male,Fixed term,Microsoft Windows,True
398,10/22/2014 14:50:40,university of bristol,I conduct research, I support researchers,,,,"Agriculture, forestry & veterinary science",uk government,More than 20 years,Yes,"My work would require more effort, but it would still be possible",No,No,No,"Micorsoft Office ,SPSS,Graphpad Prism",professor,Male,Permanent,Microsoft Windows,True
399,10/22/2014 17:20:23,queen mary university of london,I conduct research,,,,,Social studies,university central funds,6-10 years,Yes,"My work would require more effort, but it would still be possible",No,No,No,"SPSS, Qualtrics, ,",lecturer,Female,Permanent,Mac OS X,True
400,10/22/2014 18:29:06,university of leeds,I conduct research,,,,,Humanities & language based studies & archaeology,ahrc - arts and humanities research council,6-10 years,No,It would make no significant difference to my work,No,No,Yes,"I forget the name - it was to do with a funding application in which I was co-applicant , I was promised training - to do with text analysis , fonts",professor,Female,Permanent,Mac OS X,True
401,10/22/2014 20:39:54,university of liverpool,I conduct research,,,,,"Medicine, dentistry & health",nihr,1-5 years,Yes,It would not be practical to conduct my work without software,Yes,"Yes - a taught course, Yes - self taught using online resources or books",No,R,research fellow,Male,Fixed term,Microsoft Windows,True
402,10/23/2014 9:03:46,queen's university belfast,I conduct research,,,,,Education,university central funds,Less than a year,Yes,"My work would require more effort, but it would still be possible",No,No,No,MaxQDA,lecturer,Male,Permanent,Mac OS X,True
403,10/23/2014 13:12:03,imperial college london,I conduct research, I manage researchers or research projects,,,,"Biological, mathematical & physical sciences",epsrc - engineering and physical sciences research council,15-20 years,Yes,It would not be practical to conduct my work without software,Yes,No,"No, but we expected to develop software as part of the project","Matlab, Mathematica, Maple, Gephi",professor,Male,Permanent,Mac OS X,True
404,10/24/2014 7:18:09,queen mary university of london,I conduct research,,,,,Engineering & technology,epsrc - engineering and physical sciences research council,6-10 years,Yes,It would not be practical to conduct my work without software,Yes,Yes - a taught course,No,"Bash/Python scripting,Timing-driven Versatile Placement , Routing",lecturer,Male,Permanent,Linux,True
406,10/24/2014 13:30:55,university of birmingham,I conduct research, I manage researchers or research projects,Other,,,"Biological, mathematical & physical sciences",stfc - science and technology facilities council,More than 20 years,Yes,It would not be practical to conduct my work without software,Yes,"Yes - a taught course, Yes - self taught using online resources or books",Yes,"Mostly privately developed software written by the research community.,Usually in C++ using freely available compilers.,Some commercial support software tools .",postdoctoral researcher,Male,Fixed term,Linux,True
407,10/24/2014 14:04:35,queen mary university of london,I conduct research, I manage researchers or research projects, I develop software for researchers,,,"Biological, mathematical & physical sciences",university central funds,6-10 years,Yes,It would not be practical to conduct my work without software,Yes,Yes - a taught course,"No, but we expected to develop software as part of the project","LAMMPS, VMD, AmberTools, Packmol, Gromacs, Grace, ",lecturer,Male,Permanent,Linux,True
